Alderaanian War Frigate," Kriegsfregatte, Royal Alderaanian Engineering, 250m, 700 Crew, Klasse 2 Hyperraumantrieb, 500 SBD, 220 RU, 65 MGLT",10 Quad Turbolaser Batteries,4 Medium Ion Cannons,/,"173, (...)",110,Front/Oberseite,110,"Kompakte alderaanische Kriegsfregatte mit absurder Turbolaser-Dichte: 10 Quad TL Batteries (40 Läufe) auf 250m plus Ion-Kapazität. Breitseiten-Kämpfer, selten (Royal Alderaanian Engineering), aber respektabel bewaffnet."
DP-20 Frigate," Fregatte, Corellian Engineering Corporation, 120m, 91 Crew, Klasse 2 Hyperraumantrieb, Klasse 16 Backup, 416 SBD, 176 RU, 75 MGLT",8 Dual Medium Turbolasers,"6 Quad Laser Cannons, 1 AD-11G Missile Launch System, 4 Heavy Concussion Missile Tubes pro System (je 18 Missiles), 10 Concussion Missile Tubes pro System (je 18 Missiles)",/,"4,273, (...)",70,Breitseite,70,"Pro schwerer Aufschlagsrakete 9 Damage, Nachladezeit 50 sek. Pro Aufschlagsrakete 3 Damage, Nachladezeit 40 sek. | Corellianisches Kanonenboot — 16 Medium Turbolaser-Läufe auf 120m, absurde Feuerdichte. 91 Crew, billig, wird in Schwärmen eingesetzt. Einzeln ein Ärgernis, 6–8 zusammen können einem Kreuzer zusetzen."
,,,,,,,,,
,,,,,,,,,
▸ CORVETTES,,,,,,,,,
Schiffsklasse,Grunddaten,Hauptbewaffnung,Sekundärbewaffnung,Hangar,Stationierung & Einsatz,Schaden bei opt. Feuerwinkel,Optimaler Feuerwinkel,Damage pro Schadensbericht,Notizen
CR-90 Corvette,"Korvette, Corellian Engineering Corporation, 150m, 120 Crew, 600 Passagiere, Klasse 2 Hyperraumantrieb, 400 SBD, 228 RU, 60 MGLT","6 Dual Medium Turbolasers
","2 Quad Laser Cannons, 1 Proton Torpedo Launcher (10 Torpedoes)",max. 4 Shuttles,"13,345, (...)",50,Oberseite,50,"Pro Protontorpedo 12 Damage, Nachladezeit 20 sek. | Galaktisches Universalwerkzeug — Patrouille, Kurierdienst, VIP-Transport, Blockadebrecher. Jeder und seine Großmutter fliegt eine CR-90. Solide Medium-Bewaffnung für Selbstverteidigung."
CR-90 Corvette w/ Full Armament Conversion,"Korvette, Corellian Engineering Corporation, 150m, 80 Crew, 600 Passagiere, Klasse 2 Hyperraumantrieb, 400 SBD, 188 RU, 60 MGLT","2 Dual Medium Turbolasers, 4 Medium Turbolaser Turrets",/,max. 4 Shuttles,"1,934, (...)",40,Oberseite,40,"Umrüstungsvariante der CR-90 mit reduzierter Bewaffnung (8 Medium TL-Läufe statt 12). Trotz des Namens konventionell schwächer als die Standardversion. Weniger Crew, weniger Panzerung."
CR-90 Corvette w/ Turbolaser Conversion," Korvette (Turbolaser-Umbau), Corellian Engineering Corporation, 150m, 80 Crew, 600 Passagiere, Klasse 2 Hyperraumantrieb, 400 SBD, 188 RU, 60 MGLT
",x6 Dual Medium Turbolaser Turrets,/,max. 4 Shuttles,"1,761, (...)","52,5",Oberseite,"52,5","Turbolaser-Umbau der CR-90: 6 Dual Medium TL Turrets (12 Läufe in Turrets statt festen Batteries). Marginal besser als die Standard-CR-90 gegen Kapitalschiffe, aber ohne Jägerabwehr und Torpedo."
"Consular-class Cruiser, Charger c70 Refit","Kreuzer, Corellian Engineering Corporation, 138m, 9 Crew, 20 Passagiere, Klasse 1.5 Hyperraumantrieb, 350 SBD, 160 RU, 75 MGLT",4 Twin Medium Turbolasers,1 Twin Heavy Ion Cannon,/,"2,398, (...)","42,5",Front/Breitseite,"42,5","Umgerüstetes Diplomatenschiff — die Consular-Klasse wurde bei Kriegsbeginn massenhaft zum c70 umgebaut. 9 Crew, extrem automatisiert. Die Twin Heavy Ion Cannon gibt ihr echte Schildbekämpfung trotz kleiner Größe. Lückenfüller der Frühkriegsphase."
CR-70 Corvette,"Korvette, Corellian Engineering Corporation, 120m, 100 Crew, 600 Passagiere, Klasse 2 Hyperraumantrieb, 300 SBD, 130 RU, 80 MGLT",/,/,/,"12,028, (...)",/,/,/,"Waffenloser Vorgänger der CR-90 — reines Zivil- und Diplomatenschiff. Kurierdienste, Passagiertransport, senatoriale Shuttles. Im Krieg ein Konvoi-Mitglied, das Eskorte braucht, oder Umbau-Kandidat."
Republic Light Assault Cruiser,"Light Assault Cruiser, Corellian Engineering Corporation, 115m, 25 Crew, 80 Passagiere, Klasse 2 Hyperraumantrieb, 330 SBD, 150 RU, 75 MGLT",6 Turbolasers,10 Laser Cannons,max. 3 Shuttles,,,,,"Leichter corellianischer Angriffskr­euzer mit 6 Turbolasern und 10 Laser Cannons. Kompakt (115m), minimale Crew (25), schnell einsetzbar."
IPV-2C Stealth Corvette," Stealth-Korvette, Sienar Design Systems, 99m, 12 Crew, 8 Passagiere, Klasse 2 Hyperraumantrieb, 350 SBD, 60 RU, 40 MGLT",2 Dual Laser Cannons,"4 Torpedo Launchers (je 4 Missiles)
",/,"15, (...)",5,Front,5,"Pro Protontorpedo 12 Damage, Nachladezeit 20 sek. | Stealth-Schiff mit Tarnvorrichtung — 2 Dual Laser Cannons sind reine Notwehr. Die Waffe ist Unsichtbarkeit: Anschleichen, Torpedos abfeuern, verschwinden. Geheimdienst-Hardware, jedes Exemplar quasi einzigartig."
Paladin-class Corvette,"Korvette (Jedi-Orden), Rendilli Vehicle Corporation, 99m, 10 Crew, 300 Passagiere, Klasse 2 Hyperraumantrieb, Klasse 3 Backup, 265 SBD, 55 RU, 85 MGLT",/,/,/,"123, (...)",/,/,/,"Waffenloses Jedi-Orden-Schiff für Missionen, Diplomatie und Schülertransport. 300 Passagiere bei 10 Crew. Der ungewöhnlich gute Backup-Hyperantrieb (Klasse 3) zeigt den Jedi-Anspruch an Zuverlässigkeit."
CSS-1 Corellian Star Shuttle,"Shuttle-Korvette, Corellian Engineering Corporation, 80m, 8 Crew, 200 Passagiere, Klasse 1.5 Hyperraumantrieb, Klasse 12 Backup, 150 SBD, 80 RU, 75 MGLT",/,/,/,"23,183, (...)",/,/,/,"Galaktischer Linienbus — 80m, 8 Crew, 200 Passagiere, waffenlos. Überall wo Menschen von A nach B müssen: senatoriale Shuttles, Passagierfähren, Evakuierungstransporter. Im Krieg massenhaft zweckentfremdet."
,,,,,,,,,
,,,,,,,,,
▸ FREIGHTERS,,,,,,,,,
Schiffsklasse,Grunddaten,Hauptbewaffnung,Sekundärbewaffnung,Hangar,Stationierung & Einsatz,Schaden bei opt. Feuerwinkel,Optimaler Feuerwinkel,Damage pro Schadensbericht,Notizen
Tavya-class Armored Picket,"Armored Picket, Hoersch-Kessel Drive, 25m, 1 Crew, 4 Passagiere, Klasse 2 Hyperraumantrieb, 60 SBD, 50 RU, 85 MGLT",1 Laser Cannon,1 Proton Torpedo Launcher ( 6 Torpedos),/,"8,324, (...)","1,5",Front,"1,5","Pro Protontorpedo 12 Damage, Nachladezeit 20 sek. | Bewaffneter Wachhund — 25m, 1 Pilot, schnell. Hyperraumlane beobachten, Alarm schlagen, bei Gefahr Torpedos abfeuern und abhauen. Das galaktische Äquivalent eines Streifenwagens."
PB-950 Patrol Boat," Patrol Boat, Corellian Engineering Corporation, 37m, 4 Crew, 8 Passagiere, Klasse 1 Hyperraumantrieb, Klasse 12 Backup, 100 SBD, 70 RU, 70 MGLT",1 Quad Laser Cannons,"2 Medium Ion Cannons, x1 Concussion Missile Launcher (10 Missiles)",/,"9,734, (...)",6,Front,6,"Pro Aufschlagsrakete 3 Damage, Nachladezeit 40 sek. | Polizeiboot mit Taser — die Ion Cannons deaktivieren Systeme, die Quad Laser hält Druck. Für Zollkontrolle, Hafenpatrouille und Anti-Piraterie in ruhigen Sektoren. Hinter der Front unverzichtbar."
,,,,,,,,,
,,,,,,,,,
▸ GUNSHIPS & TRANSPORTS,,,,,,,,,
Schiffsklasse,Grunddaten,Hauptbewaffnung,Sekundärbewaffnung,Hangar,Stationierung & Einsatz,Schaden bei opt. Feuerwinkel,Optimaler Feuerwinkel,Damage pro Schadensbericht,Notizen
Nu-class Shuttle,"Shuttle, Cygnus Spaceworks, 18,9m, 2 Crew, 30 Passagiere, Klasse 1 Hyperraumantrieb, 65 SBD, 35 RU, 65 MGLT",2 Medium Laser Cannons,2 Double Light Laser Cannons,/,"38,423, (...)","3,5",Front,"3,5","Standard-Shuttle der GAR. Wo immer Klone landen müssen, fliegt eine Nu-class. Medium Laser Cannons sind eine Stufe über normalen Lasern, genug für den Anflug zur Landezone."
LAAT/s Gunship,"Gunship, Rothana Heavy Engineering, 17,69m, 6 Crew, 24 Passagiere, Klasse 1 Hyperraumantrieb, 40 SBD, 30 RU, 55 MGLT",2 Laser Cannons,"4 Composite-beam Laser Turrets, x2 Mass Driver Launcher (30 Missiles)",/,"23,753, (...)",4,Allseitig,4,"Pro Mass-Driver-Aufschlagsrakete 3 Damage, Nachladezeit 15 sek. | Weltraum-Variante der LAAT mit Hyperantrieb. Die 4 Composite-beam Turrets geben Rundum-Feuerfähigkeit. Für Boarding-Aktionen, Enterkommandos und Kurzstrecken-Truppentransfers."
LAAT/c Dropship,"Dropship, Rothana Heavy Engineering, 17,69m, 1 Crew, 30 SBD, 30 RU, 50 MGLT",2 Light Laser Cannons,/,max. x4 leichte Fahrzeuge (z.B. 4 AT-RT oder 4 BARC Speeder) ODER x1 medium Fahrzeug (z.B. AT-AP oder TX-130 Saber-Tank) ODER x1 schweres Fahrzeug (z.B. AT-TE oder HAVw A6 Juggernaut),"28,934, (...)",1,Front,1,"Fahrzeug-Dropship ohne nennenswerte Bewaffnung. Einziger Zweck: AT-TEs und andere Fahrzeuge auf den Boden bringen. 1 Crew, Verbrauchsmaterial."
LAAT/i Gunship," Infantry Gunship, Rothana Heavy Engineering, 17,69m, 6 Crew, 30 Passagiere, 50 SBD, 30 RU, 50 MGLT",3 Laser Cannons,"4 Composite-beam Laser Turrets, x2 Mass Driver Launcher (je 30 Missiles), x2 Droid Buster Launchers (je 2 EMP Missiles)","max. 4 leichte Fahrzeuge (2 AT-RT, 1 BARC Speeder, 1 UT-AT)","86,231, (...)",5,Front,5,"Pro Mass-Driver-Aufschlagsrakete 3 Damage, Nachladezeit 15 sek. | Das ikonische Gunship der Klonkriege — Geonosis, Christophsis, Umbara. Die konventionelle Bewaffnung ist Nahunterstützung, der eigentliche Schaden kommt aus Mass Drivers und Droid Busters. Berüchtigt für hohe Verlustrate."
Delta-12 Skysprite-class VIP Transport,"VIP-Transporter, Kuat Systems Engineering, 13m, 1 Crew, 1 Passagier, 120 SBD, 60 RU, 75 MGLT",/,/,/,"892, (...)",/,/,/,"Persönliches VIP-Taxi — 13m, 1 Crew, 1 Passagier, waffenlos. Für Senatoren, Generäle und Jedi. Klein, schnell, unauffällig."
Boarding Drill Pod,"Boarding Pod, Kuat Systems Engineering, 12m, 1 Crew, 48 Passagiere, 80 SBD, 90 RU, 60 MGLT",/,/,/,"7,238, (...)",/,/,/,"Einweg-Dosenöffner für Entermanöver — 48 Truppen, keine Waffen, dafür 90 RU Panzerung. Bohrt sich durch feindliche Hüllen. Wird von Trägerschiffen mitgeführt und im Gefecht ausgesetzt. Verbrauchsmaterial."
LAAT/le Patrol Gunship,"Patrol Gunship, Rothana Heavy Engineering, 11,48m, 2 Crew, 12 Passagiere, 55 SBD, 40 RU, 60 MGLT",3 Laser Cannons,/,/,"43,128, (...)",2,Front,2,"Streifenwagen der GAR — Polizeiarbeit, Sicherheitspatrouillen, urbane Operationen auf besetzten Planeten. 3 Laser Cannons reichen für Kriminelle, nicht für echten Kampf. Das Fahrzeug, das die Zivilbevölkerung am häufigsten sieht."
,,,,,,,,,
,,,,,,,,,
▸ FIGHTERCRAFT,,,,,,,,,
Schiffsklasse,Grunddaten,Hauptbewaffnung,Sekundärbewaffnung,Hangar,Stationierung & Einsatz,Schaden bei opt. Feuerwinkel,Optimaler Feuerwinkel,Damage pro Schadensbericht,Notizen
BTL-B Y-Wing Bomber,"Bomber, Koensayr Manufacturing, 23m, 2 Crew, Klasse 2 Hyperraumantrieb, 30 RU, 80 MGLT (ohne Nutzlast) / 60 MGLT (mit Nutzlast), 59 DPF Maneuverability",2 Medium Laser Cannons,"1 Double Light Ion Cannons, 1 MG7 Proton Torpedo Launcher (10 Torpedoes), 1 Bomber Chute (8 Proton Bombs)",/,"17,243, (...)",3,Front/Heck,3,"Pro Protontorpedo 12 Damage, Nachladezeit 20 sek. Pro Proton-Bombe 20 Damage, Nachladezeit 20 sek. | Standard-Bomber der GAR. Träge (59 DPF) und langsam mit Nutzlast (60 MGLT), aber 10 Torpedos und 8 Proton Bombs liefern den Punch. Ohne Ordnance ein schwerfälliges Ziel. Verlustrate bei Bombing Runs ist brutal. Pro Protonenbombe 15 Damage, Nachladezeit 50 sek."
NTB-630 Naval Bomber,"Naval Bomber, Incom Corporation & Subpro Corporation, 18,9m, 4 Crew, 40 SBD, 25 RU, 75/50 MGLT, 70 DPF",1 Twin Laser Cannons,"1 Twin Autoblasters, 1 Bomber Chute (10 Proton Bombs)",/,"6,782, (...)",2,Front/Heck,2,"Pro Proton-Bombe 20 Damage, Nachladezeit 20 sek. | Schnellerer, wendigerer Bomber als der Y-Wing (75 MGLT, 70 DPF), aber schwächere konventionelle Bewaffnung. 4 Crew, personalintensiv. Beliebt bei Verbänden, die Wert auf Überlebensfähigkeit ihrer Bomber legen. Pro Protonenbombe 15 Damage, Nachladezeit 50 sek."
Clone Z-95 Headhunter,"Starfighter, Incom Corporation & Subpro Corporation, 16,74m, 1 Crew, 35 SBD, 18 RU, 90 MGLT, 96 DPF",2 Laser Cannons,2 Torpedo Launchers (je 4 Torpedoes),/,"56,821, (...)","1,5",Front/Heck,"1,5","Pro Protontorpedo 12 Damage, Nachladezeit 20 sek. | Häufigster Jäger der GAR neben dem V-Wing. Uraltes, ausgereiftes Design — billig, einfach zu warten, perfekte Massenware. Wo kein besserer Jäger verfügbar ist, fliegen Z-95s. Ersetzbares Kanonenfutter."
ARC-170 Starfighter,"Starfighter, Incom Corporation & Subpro Corporation, 14,5m, 4 Crew, Klasse 1.5 Hyperraumantrieb, 40 SBD, 25 RU, 85 MGLT, 92 DPF",2 Medium Laser Cannons,"2 Rear Laser, 1 Torpedo Launcher (6 Torpedoes)",/,"15,213, (...)",3,Front/Heck,3,"Pro Protontorpedo 12 Damage, Nachladezeit 20 sek. | Mehrzweck-Schwere-Jäger mit 4 Crew, Hyperantrieb und Heckschütze. Langstreckenaufklärung, Eskorte, schwere Jägereinsätze. Teurer und personalintensiver als der Z-95, geht an erfahrene Staffeln."
PTB-625 Planetary Bomber,"Planetary Bomber, Incom Corporation & Subpro Corporation, 14,2m, 5 Crew, 30 SBD, 20 RU, 70 MGLT, 74 DPF",1 Twin Light Laser Cannons,"1 Twin Autoblasters, 1 Bomber Chute (8 Proton Bombs)",/,"11,238, (...)","1,5",Front/Heck,"1,5","Pro Proton-Bombe 20 Damage, Nachladezeit 20 sek. | Atmosphärischer Bomber für Bodenziele — Truppenstellungen, Bunker, Fahrzeugkolonnen. Kein Weltraumbomber. 5 Crew auf 14,2m ist extrem eng. Konventionelle Bewaffnung ist reine Überlebenshilfe auf dem Anflug. Pro Protonenbombe 15 Damage, Nachladezeit 50 sek."
ARC-40b Scout-Reconnaissance Fighter,"Scout Fighter, Kuat Systems Engineering, 12,7m, 3 Crew, Klasse 2 Hyperraumantrieb, Klasse 8 Backup, 25 SBD, 15 RU, 100 MGLT, 88 DPF",2 Light Laser Cannons,"1 Twin Light Laser Cannons, 2 Concussion Missile Launcher (je 4 Missiles)",/,"3,864, (...)",2,Front/Heck,2,"Pro Aufschlagsrakete 3 Damage, Nachladezeit 40 sek. | Aufklärer — 100 MGLT, Hyperantrieb mit Klasse 8 Backup. Reinfliegen, scannen, dokumentieren, abhauen. Konventionell schwach (nur Light Laser), die Missiles sind Notfall-Biss. Der beste Einsatz ist einer, bei dem nie geschossen wird."
N-1 Starfighter,"Starfighter, Nubia Star Drives Incorporated, 11m, 1 Crew, Klasse 1 Hyperraumantrieb, 30 SBD, 22 RU, 100 MGLT, 98 DPF",1 Twin Laser Cannons,2 Proton Torpedo Launchers (je 5 Missiles),/,"328, (...) ","1,5",Front,"1,5","Pro Protontorpedo 12 Damage, Nachladezeit 20 sek. | Naboo-Prestige-Jäger — elegant, schnell (100 MGLT, 98 DPF), aber unterbewaffnet. Exklusiv für Naboos Königliche Sicherheitskräfte. Systemverteidigung und Eskorte für die Königin."
Delta-7B Aethersprite-class Light Interceptor,"Interceptor, Kuat Systems Engineering, 8m, 1 Crew, 20 RU, 110 MGLT, 104 DPF",4 Laser Cannons,/,/,"1,238, (...)","2,5",Front,"2,5","Verbessertes Jedi-Interceptor-Modell mit leicht stärkerer Panzerung (20 vs 18 RU). Kein Schild, kein eigener Hyperantrieb — braucht externen Ring. In Jedi-Händen tödlich, für normale Piloten ein fliegender Sarg. 110 MGLT, 104 DPF."
Delta-7 Aethersprite-class Light Interceptor," Interceptor, Kuat Systems Engineering, 8m, 1 Crew, 18 RU, 110 MGLT, 104 DPF",2 Twin Laser Cannons,/,/,"1,242, (...)","2,5",Front,"2,5","Originalversion des Jedi-Interceptors. Minimal schwächere Panzerung als die 7B. Viele im Lauf der Klonkriege durch 7Bs ersetzt, aber erfahrene Jedi bevorzugen oft das vertraute Modell."
Alpha-3 Nimbus-class V-Wing Interceptor," Interceptor, Kuat Systems Engineering, 7,9m, 1 Crew, 40 SBD, 25 RU, 110 MGLT, 100 DPF",2 Light Twin Laser Cannons,1 Concussion Missile Launcher (4 Missiles),/,"66,828, (...)",2,Front,2,"Pro Aufschlagsrakete 3 Damage, Nachladezeit 40 sek. | Meistproduzierter Jäger der späten Klonkriege. Ersetzt den Z-95 als Standard-Interceptor. Keine eigener Hyperantrieb — reiner Träger-Interceptor. Light Twin Laser sind schwach, aber Schilde (40 SBD) machen ihn überlebensfähig."
V-19 Torrent starfighter,"Starfighter, Slayn & Korpil, 6m, 1 Crew, Klasse 2 Hyperraumantrieb, 15 RU, 90 MGLT, 102 DPF",2 Laser Cannons,2 Concussion Missile Launcher (je 2 Missiles),/,"39,128, (...)","1,5",Front,"1,5","Pro Aufschlagsrakete 3 Damage, Nachladezeit 40 sek. | Standard-Jäger der frühen Klonkriege — Geonosis und die ersten großen Schlachten. Winzig (6m), wendig (102 DPF), aber ohne Schilde verwundbar. Wird gegen Kriegsende durch V-Wings und Z-95s verdrängt."
Eta-2 Actis-class Interceptor (Heavy Defense Variant)," Interceptor, Walex Blissex / Kuat Systems Engineering, 5,47m, 1 Crew, 45 SBD, 25 RU, 120 MGLT, 95 DPF",2 Laser Cannons,1 Concussion Missile Launcher (4 Missiles),/,"333, (...)","1,5",Front,"1,5","Pro Aufschlagsrakete 3 Damage, Nachladezeit 40 sek. | Jedi-Interceptor mit Schilden (45 SBD) auf Kosten der Wendigkeit (95 DPF). Für Jedi, die als Staffelführer länger im Kampf bleiben müssen. 120 MGLT — zweitschnellstes Schiff der Flotte."
Eta-2 Actis-class Interceptor,": Interceptor, Walex Blissex / Kuat Systems Engineering, 5,47m, 1 Crew, 20 RU, 125 MGLT, 93 DPF",2 Laser Cannons,2 Ion Cannons,/,"1,729, (...)",2,Front,2,Standard-Jedi-Interceptor der späten Klonkriege. 125 MGLT — schnellstes Schiff der Flotte. 2 Ion Cannons ermöglichen Schildstörung und Systemdeaktivierung. Ohne Schilde und mit 93 DPF völlig auf die Macht als Frühwarnsystem angewiesen.
