Umbaran Support Ship,"Unterstützungsschiff, Umbaran Engineering, 300m, 150 Crew, 100 Passagiere, Klasse 1 Hyperraumantrieb, Klasse 8 Backup, 450 SBD, 150 RU, 90 MGLT",25 Dual Laser Cannons,/,/,"200, (...)",40,Breitseite,40,"Umbaranisches Design — schnell (90 MGLT) und wendig. 25 Dual Laser Cannons sind nur laser-Klasse, null Turbolaser. Das Schiff setzt auf Geschwindigkeit und umbaranische Geheimtechnologie statt reiner Feuerkraft. Nach der Schlacht von Umbara in geringeren Zahlen im Einsatz."
Hardcell-class Interstellar Transport,"Transport, Techno Union, 220m, 190 Crew, 1.017 Passagiere, Klasse 1 Hyperraumantrieb, Klasse 8 Backup, 200 SBD, 50 RU, 40 MGLT","2 Dual Laser Cannon Turrets, 3 Laser Cannons",1 Assault Concussion Missile Tube (6 Missiles pro Tube),"max. 650 Hailfire-Droids ODER 100 schwere/medium Fahrzeuge (z.B. MTT, NR-N99 Persuader, AAT, OG-9 Spider Droid)","3.000, (...)",10,Allseitig,10,"Pro Assault-Aufschlagsrakete 5 Damage, Nachladezeit 20 sek. | Techno-Union-Transporter — das ist kein Kampfschiff, sondern ein fliegender Stahlzylinder für Truppen und Fahrzeuge. Die Trennung in Segmente erlaubt Orbital-Drops. Bewaffnung minimal (5 Laser-Läufe auf 220m!). Trägt 650 Hailfire Droids — eine ganze Raketen-Armee. Massenhaft produziert."
Geonosian Corvette,"Korvette, Geonosian Foundries, 200m, 50 Crew, 300 Droiden, Klasse 2 Hyperraumantrieb, Klasse 12 Backup, 700 SBD, 300 RU, 90 MGLT",10 Laser Cannons,10 Dual Point-Defense Cannons,max. 6 Droid Fighter,"800, (...)",15,Breitseite,15,"Geonosianisches Design mit charakteristischen Insektenmotiven. Schnell (90 MGLT), gut gepanzert (700 SBD / 300 RU), aber minimale Feuerkraft (nur Laser Cannons). Primär ein Truppentransporter für Geonosische Krieger und 300 deaktivierte Droiden."
Commerce Guild Corvette,"Korvette, Commerce Guild, 80m, 120 Crew, 600 Passagiere, Klasse 1 Hyperraumantrieb, Klasse 8 Backup, 400 SBD, 175 RU, 85 MGLT",1 Point-Defense Ion Cannon,"8 Point-Defense Cannons, 2 Heavy Concussion Missile Launcher (10 Missiles pro Launcher)","max. 6 Sternenjäger, 1 C-9979 Landungsboot","1.500, (...)",5,Allseitig,5,"Pro schwerer Aufschlagsrakete 9 Damage, Nachladezeit 50 sek. | Commerce Guild-Eskorte für Handelskonvois — praktisch waffenlos (nur 1 Ion + 8 PD). Das Ding existiert, um auf den Handelsrouten der Commerce Guild Präsenz zu zeigen, nicht um zu kämpfen. Trägt überraschenderweise 6 Sternenjäger und sogar ein C-9979 Landungsboot — vermutlich um 'Kundenprobleme' zu lösen."
C-ROC Gozanti-class Cruiser,"Kreuzer, Corellian Engineering Corporation, 73m, 12 Crew, 20 Passagiere, Klasse 3 Hyperraumantrieb, Klasse 12 Backup, 180 SBD, 100 RU, 80 MGLT","2 Quad Laser Turrets, 4 Twin Heavy Laser Cannons",/,"max. 4 Sternenjäger, 1 schweres (z.B. MTT oder NR-N99 Persuader) ODER 2 medium (z.B. AAT oder IG-227 Hailfire) ODER 4 leichte Fahrzeuge (z.B. STAP oder DSD1 Dwarf Spider Droid)","4.000, (...)",20,Front/Oberseite,20,"CEC-Design, das häufig bei Piraten und Söldnern zu finden ist — viele davon wurden von CIS-Vertretern angeheuert. 8 Quad Laser + 4 Twin Heavy Laser gibt ordentlichen Biss für 73m. 4 Sternenjäger und Fahrzeugkapazität machen es zum vielseitigen Raiderschiff."
C-ROC Gozanti-class Cruiser w/ Corsair Refit,"Kreuzer (Corsair-Refit), Corellian Engineering Corporation, 73m, 12 Crew, 20 Passagiere, Klasse 3 Hyperraumantrieb, Klasse 12 Backup, 180 SBD, 100 RU, 80 MGLT","2 Medium Turbolasers, 4 Quad Laser Cannons, 8 Dual Heavy Laser Cannons","12 Laser Cannons, 12 Point-Defense Cannons","max. 4 Sternenjäger, 1 schweres (z.B. MTT oder NR-N99 Persuader) ODER 2 medium (z.B. AAT oder IG-227 Hailfire) ODER 4 leichte Fahrzeuge (z.B. STAP oder DSD1 Dwarf Spider Droid)","300, (...)",40,Front/Oberseite,40,"Corsair-Refit-Variante mit massiv aufgerüsteter Bewaffnung — 2 Medium TL + 4 Quad Laser + 8 Dual Heavy Laser. Doppelte Feuerkraft gegenüber der Standard-Version. Typisch für erfolgreiche Piraten-Syndikate, die ihre Gozantis hochrüsten. Selten gesehen, gefährlich wenn angetroffen."
▸ FREIGHTERS,,,,,,,,,
Schiffsklasse,Grunddaten,Hauptbewaffnung,Sekundärbewaffnung,Hangar,Stationierung & Einsatz,Schaden bei opt. Feuerwinkel,Optimaler Feuerwinkel,Damage pro Schadensbericht,Notizen
Trident-class Assault Ship,"Angriffsschiff, Colicoid Creation Nest, 88,71m, 4 Crew, 12 Aqua Droids ODER 20 B1s, Klasse 2 Hyperraumantrieb, 110 SBD, 75 RU, 40 MGLT",/,8 Laser Cannons,/,"3.000, (...)","7,5",Allseitig,"7,5","Colicoid-Design mit vier charakteristischen Klauen — kann sich an Raumschiffen und unter Wasser an Unterwasser-Anlagen festkrallen. 8 Laser Cannons sind minimal. Der wahre Wert ist die Fähigkeit, sich irgendwo anzuhaken und Truppen reinzupumpen. Amphibische Einsätze und Entermanöver."
,,,,,,,,,
▸ GUNSHIPS & TRANSPORTS,,,,,,,,,
Schiffsklasse,Grunddaten,Hauptbewaffnung,Sekundärbewaffnung,Hangar,Stationierung & Einsatz,Schaden bei opt. Feuerwinkel,Optimaler Feuerwinkel,Damage pro Schadensbericht,Notizen
C-9980 Landing Craft,"Landungsschiff, Haor Chall Engineering, 370m, 88 Crew, 2.500 Passagiere, Klasse 15 Hyperraumantrieb, kein Schild, 350 RU, 30 MGLT",4 Laser Cannons,4 Turret-Mounted Cannons,"max. 28 leichte Fahrzeuge (11 STAP, 8 DSD1 Dwarf Spider Droid, 6 LM-432 Crab Droid, 3 PK Worker Droid), 114 Medium Fahrzeuge (57 AAT, 34 IG-227 Hailfire, 23 OG-9 Homing Spider Droid), 11 schwere Fahrzeuge (6 MTT, 3 NR-N99 Persuader, 2 Octuptarra Magna Tri-Droid)","5.000, (...)",20,Allseitig,20,"Modifizierte C-9979-Variante mit höherer Fahrzeugkapazität — designed für massive Bodeninvasionen. Kein Schild (!), nur dicke Rumpfpanzerung (350 RU). Träge (30 MGLT) und waffentechnisch minimal — ein reiner Truppentransporter, der von anderen Schiffen eskortiert werden muss."
C-9979 Landing Craft,"Landungsschiff, Haor Chall Engineering, 370m, 88 Crew, 124 Passagiere + 4.688 B1-Droiden, Klasse 15 Hyperraumantrieb, kein Schild, 350 RU, 30 MGLT",4 Laser Cannons,4 Turret-Mounted Cannons,"max. 28 leichte Fahrzeuge (11 STAP, 8 DSD1 Dwarf Spider Droid, 6 LM-432 Crab Droid, 3 PK Worker Droid), 100 Medium Fahrzeuge (50 AAT, 30 IG-227 Hailfire, 20 OG-9 Homing Spider Droid), 8 schwere Fahrzeuge (4 MTT, 2 NR-N99 Persuader, 2 Octuptarra Magna Tri-Droid)","6.000, (...)",20,Allseitig,20,"Das ikonische CIS-Landungsschiff aus 'Die dunkle Bedrohung' — trägt die ikonischen MTTs und AATs sowie 4.688 B1-Kampfdroiden. Flügelförmiges Design für atmosphärische Gleitfähigkeit. Schwach bewaffnet, aber zählbar für das Wahrzeichen jeder CIS-Invasion. Muss sicher eskortiert werden."
C-9979 Carrier,"Träger-Variante, Haor Chall Engineering, 370m, 88 Crew, 124 Passagiere, Klasse 2 Hyperraumantrieb, kein Schild, 350 RU, 30 MGLT",4 Laser Cannons,4 Turret-Mounted Cannons,max. 144 Sternenjäger,"1.500, (...)",20,Allseitig,20,"Trägervariante des C-9979 mit Klasse 2 Hyperantrieb (statt Klasse 15) — kann eigenständig fliegen. 144 Sternenjäger statt Bodenfahrzeuge. Wird häufig genutzt, um Vulture Droids zu Systemen zu bringen, die kein Lucrehulk benötigen. Flexible Alternative zum großen Lucrehulk-Träger."
Maxillipede Shuttle,"Shuttle, Haor Chall Engineering, 24m, 2 Crew, 10 Passagiere, Klasse 1 Hyperraumantrieb, kein Schild, 60 RU, 80 MGLT",3 Laser Cannons,/,/,"12.000, (...)","2,5",Front,"2,5","Insektoides Design — typisch Haor Chall. 3 Laser Cannons sind reine Selbstverteidigung. Hauptzweck: Personalverkehr für CIS-Offiziere und Techniker. Wird überall in der CIS eingesetzt, wo Menschen (oder Neimoidianer) von A nach B müssen."
Shekelesh-class Freight Gunship,"Frachtgunship, Techno Union, 21,15m, 8 Crew, 12 Passagiere, Klasse 1 Hyperraumantrieb, kein Schild, 45 RU, 75 MGLT",4 Laser Cannons,/,/,"8.000, (...)","3,5",Front/Breitseite,"3,5","Techno-Union-Frachtgunship — eine Mischung aus Transporter und Gunship. 4 Laser Cannons geben etwas Biss, aber primär ein Frachtschiff mit Bewaffnung. Häufig bei Techno-Union-Operationen und als bewaffnete Eskorte für wichtige Lieferungen."
Sheathipede-class Transport Shuttle,"Transport-Shuttle, Haor Chall Engineering, 20m, 2 Crew, 10 Passagiere, Klasse 1 Hyperraumantrieb, kein Schild, 50 RU, 75 MGLT",3 Laser Cannons,/,/,"15.000, (...)","2,5",Front,"2,5","Das ikonische Neimoidianer-Shuttle mit seinem charakteristischen Hals und den spreizbaren Landebeinen. Wird von Handelsförderations-Offizieren und Neimoidianischen Würdenträgern bevorzugt genutzt. Minimale Bewaffnung — Diplomaten und Bürokraten fliegen, keine Kämpfer."
Droch-class Boarding Ship,"Enterschiff, Creation Nest, 18,51m, 1 Crew, 6 Passagiere, kein Hyperantrieb, kein Schild, 40 RU, 50 MGLT",4 Twin Light Laser Cannons,/,/,"6.000, (...)","2,5",Front,"2,5","Colicoid-Enterschiff — organisch-insektoides Design mit der Fähigkeit, sich an feindliche Hüllen anzuhaken und durchzubohren. 4 Twin Light Laser sind nur beim Anflug relevant. Trägt 6 Enterkommando-Mitglieder (oder Colicoid-Elite-Krieger). Einwegwerkzeug für präzise Entermanöver."
▸ FIGHTERCRAFT,,,,,,,,,
Schiffsklasse,Grunddaten,Hauptbewaffnung,Sekundärbewaffnung,Hangar,Stationierung & Einsatz,Schaden bei opt. Feuerwinkel,Optimaler Feuerwinkel,Damage pro Schadensbericht,Notizen
Ginivex-class Starfighter,"Sternenjäger, Huppla Pasa Tisc Shipwrights Collective, 13,05m, 1 Crew, Klasse 1 Hyperraumantrieb, 50 SBD, 15 RU, 105 MGLT, 100 DPF",2 Double Laser Cannons,/,/,"500, (...)",2,Front,2,"Das ikonische organische Design der Geonosianer — Asajj Ventress' bevorzugter Jäger. 2 Double Laser Cannons, hohe Geschwindigkeit (105 MGLT), exzellente Wendigkeit (100 DPF). Seltener Jäger, meist von hochrangigen CIS-Offizieren oder Sith-Schülern geflogen. Kein Massenprodukt."
Rogue-class Porax-38 StarFighter,"Sternenjäger, Baktoid Armor Workshop, 12,7m, 1 Crew + 1 kleiner Droide, Klasse 2 Hyperraumantrieb, 40 SBD, 22 RU, 100 MGLT, 101 DPF",2 Heavy Laser Cannons,/,/,"7.000, (...)","2,5",Front,"2,5","Eine der wenigen organisch geflogenen CIS-Jäger — für menschliche und nicht-droidische Piloten. 2 Heavy Laser Cannons geben ihm mehr Biss als die Droiden-Jäger. Gute Wendigkeit (101 DPF). Wird von CIS-Mercenarien und lebenden Piloten bevorzugt, die keinen Droidensteuerung vertrauen."
HMP Droid Gunship,"Droid Gunship, Baktoid Fleet Ordnance / Haor Chall Engineering, 12,3m, 12 B2/BX Droiden, kein Hyperantrieb, 35 SBD, 50 RU, 50 MGLT",2 Twin Medium Laser Cannons,"1 Medium Laser Cannon, 2 Light Laser Cannons, 2 Payload Launcher (7 Missiles pro Launcher)",/,"40.000, (...)",6,Front,6,"Pro Aufschlagsrakete 3 Damage, Nachladezeit 40 sek. | Droiden-gesteuertes Gunship — kein organischer Pilot, nur 12 B2 oder BX Droiden an Bord zum Ausladen. 2 Twin Medium Laser + 1 Medium + 2 Light Laser plus 14 Missiles gibt ordentlich Biss für 12,3m. Das CIS-Gegenstück zur LAAT. Massenhaft produziert, Verbrauchsmaterial."
Hyena-class Bomber,"Bomber, Baktoid Armor Workshop, 12,48m, droidengesteuert, kein Hyperantrieb (nur mit Träger), 20 RU, 80 MGLT (ohne Nutzlast) / 60 MGLT (mit Nutzlast), 64 DPF",1 Quad Light Laser Cannons,"2 Missile Launcher (6 Missiles pro Launcher), 1 Bomb Chute (8 Proton Bombs)",/,"75.000, (...)","1,5",Front,"1,5","Pro Aufschlagsrakete 3 Damage, Nachladezeit 40 sek. Pro Proton-Bombe 20 Damage, Nachladezeit 20 sek. | Droiden-Bomber der CIS — basiert auf dem Vulture Droid-Grundchassis, aber größer und mit Bombenkapazität. 1 Quad Light Laser ist minimalste Selbstverteidigung. Der wahre Punch sind die 12 Missiles und 8 Proton Bombs. Massenhaft produziert, Verbrauchsmaterial für Bombenangriffe. Pro Protonenbombe 15 Damage, Nachladezeit 50 sek."
Tempest Zero Starfighter,"Sternenjäger, Valahari Shipwrights, 12m, 1 Crew, Klasse 2 Hyperraumantrieb, 55 SBD, 25 RU, 125 MGLT, 95 DPF",4 Laser Cannons,"1 Harpoon Gun (durchdringt Schilde), 1 Missile Launcher (3 Missiles)",/,"200, (...)","2,5",Front,"2,5","Pro Aufschlagsrakete 3 Damage, Nachladezeit 40 sek. | Valahari-Spezialdesign — 125 MGLT ist extrem schnell, auf Eta-2-Niveau. Die Harpoon Gun kann Schilde durchdringen, was in Jäger-gegen-Kapitalschiff-Gefechten enormen Wert hat. 4 Laser Cannons plus Harpoon plus Missiles macht ihn vielseitig. Selten, meist bei Eliteeinheiten."
Mankvim-814 Light Interceptor,"Leichter Interceptor, Feethan Ottraw Scalable Assemblies, 10,7m, 1 Crew, kein Hyperantrieb, 35 SBD, 18 RU, 105 MGLT, 102 DPF",2 Light Laser Cannons,/,/,"20.000, (...)","1,5",Front,"1,5","Leichter, billiger Interceptor — CIS-Antwort auf den V-Wing. Schnell (105 MGLT), wendig (102 DPF), aber schwach bewaffnet (nur 2 Light Laser). Kein Hyperantrieb — reiner Träger-Jäger. Massenhaft produziert bei mittleren CIS-Werften. Solide Kanonenfutter."
Zenuas 33 Umbaran Starfighter,"Sternenjäger, Umbara Shipwrights, 10,38m, 1 Crew, kein Hyperantrieb, 20 SBD (Ray Shield Cockpit), 30 RU, 100 MGLT, 101 DPF",2 Plasma Cannons,2 Missile Pods (3 Missiles pro Pod),/,"3.000, (...)","2,5",Front,"2,5","Pro Aufschlagsrakete 3 Damage, Nachladezeit 40 sek. | Umbaranisches Design mit charakteristischen energiegepulsten Plasma Cannons — stärker als normale Laser. Der Ray Shield Cockpit schützt den Piloten direkt vor gerichteter Energie. Seltene, teure Maschine, nur bei umbaranischen Kontingenten zu finden. Nach der Schlacht von Umbara in reduzierten Zahlen. Nachladezeit"
Nantex-class Territorial Defense StarFighter,"Territorialverteidigungs-Jäger, Huppla Pasa Tisc Shipwrights Collective, 9,8m, 1 Crew, kein Hyperantrieb, kein Schild, 25 RU, 110 MGLT, 105 DPF",1 Laser Cannon Turret,/,/,"500, (...)","1,5",Allseitig,"1,5","Rein geonosianischer Jäger — nur Geonosianer können ihn fliegen wegen der speziellen Steuerung über Insektenfühler-Rezeptoren. 1 Laser Cannon Turret ist 360°-drehbar, ungewöhnlich für einen Jäger. Höchste Wendigkeit (105 DPF) aller Jäger. Selten außerhalb von Geonosis."
Amphibious Fighter,"Amphibischer Jäger, Mon Calamari Shipyards, 8,5m, 1 Crew, kein Hyperantrieb, kein Schild, 20 RU, 105 MGLT, 94 DPF",3 Laser Cannons,/,/,"800, (...)","1,5",Front,"1,5","Mon Calamari-Design, von den Quarren für CIS gebaut (die Quarren stehen auf CIS-Seite, die Mon Cals auf Republik-Seite). Kann in Atmosphäre, Weltraum und unter Wasser operieren — seltene Mehrzweckfähigkeit. Bewaffnung minimal, aber vielseitig einsetzbar."
Belbullab-22 StarFighter,"Sternenjäger, Feethan Ottraw Scalable Assemblies, 6,71m, 1 Crew, Klasse 6 Hyperraumantrieb, Klasse 15 Backup, 35 SBD, 30 RU, 105 MGLT, 92 DPF",2 Triple Laser Cannons,/,/,"100, (...)","2,5",Front,"2,5","General Grievous' persönlicher Jäger — das 'Soulless One' gehört zu dieser Klasse. 2 Triple Laser Cannons (6 Läufe) geben ordentlichen Biss. Eigener Hyperantrieb (obwohl Klasse 6, also langsam). Beliebt bei hochrangigen CIS-Offizieren und Söldner-Assen. Prestige-Objekt, kein Massenprodukt."
Belbullab-24 Strike Bomber,"Strike-Bomber, Feethan Ottraw Scalable Assemblies, 6,71m, 1 Crew, Klasse 6 Hyperraumantrieb, Klasse 15 Backup, kein Schild, 30 RU, 80 MGLT (ohne Nutzlast) / 55 MGLT (mit Nutzlast), 55 DPF",2 Triple Laser Cannons,"2 Concussion Missile Launcher (6 Missiles pro Launcher), 1 Bomber Chute (12 Proton Bombs)",/,"1,500, (...)","2,5",Front,"2,5","Pro Aufschlagsrakete 3 Damage, Nachladezeit 40 sek. Pro Proton-Bombe 20 Damage, Nachladezeit 20 sek. | Bomber-Variante der Belbullab — gleiche Hauptbewaffnung wie die 22, aber mit Bomben- und Missile-Kapazität statt Schilden. Trägt 12 Proton Bombs und 12 Missiles für Bombing Runs. Langsamer und weniger wendig als der 22er, aber mit mehr Punch. Nachladezeit. Pro Protonenbombe 15 Damage, 50 sek Nachladezeit"
Droid Tri Fighter,"Droid-Jäger, Colla Designs / Phlac-Arphocc Automata Industries, 5,4m, droidengesteuert, kein Hyperantrieb, kein Schild, 35 RU, 125 MGLT, 104 DPF",1 Heavy Laser,"3 Light Laser Cannons, 2 Missile Launcher (3 Concussion ODER 3 Discord Missiles pro Launcher)",/,"55.000, (...)",2,Front,2,"Pro Aufschlagsrakete 3 Damage, Nachladezeit 40 sek. | Verbesserter Nachfolger des Vulture Droid — dreibeinige Bauweise, 125 MGLT (eine der schnellsten Jäger der Galaxis), 104 DPF. 1 Heavy Laser + 3 Light Laser gibt mehr Biss als der Vulture. Die Discord Missiles sind Buzz Droids — kleine Sabotagedroiden, die auf gegnerische Schiffe losgelassen werden. Gefürchteter Jäger-Killer. Nachladezeit."
Droid Missile Fighter,"Missile-Fighter, Colla Designs / Phlac-Arphocc Automata Industries, 5,4m, droidengesteuert, kein Hyperantrieb, kein Schild, 30 RU, 115 MGLT, 85 DPF",3 Light Laser Cannons,4 Missile Launcher (3 Concussion ODER 3 Proton Missiles pro Launcher),/,"30.000, (...)","1,5",Front,"1,5","Pro Aufschlagsrakete 3 Damage, Nachladezeit 40 sek. Pro Protontorpedo 12 Damage, Nachladezeit 20 sek. | Raketen-Spezialist unter den Droiden-Jägern — 4 Missile Launcher mit insgesamt 12 Proton oder Concussion Missiles. Schwächere Laser (nur 3 Light), aber der Raketen-Punch kompensiert. Wird in Schwärmen eingesetzt, die koordinierte Salven abfeuern. Tödlich in Masse. Nachladezeit. Pro Protonenbombe 15 Damage, 50 sek Nachladezeit"
Vulture Droid Starfighter,"Droid-Jäger, Haor Chall Engineering / Baktoid Armor Workshop, 3,6m, droidengesteuert, kein Hyperantrieb, kein Schild, 10 RU, 100 MGLT, 100 DPF",6 Blaster Cannons,4 Missile Launcher (2 Concussion ODER 4 Discord Missiles pro Launcher),/,"800.000, (...)","1,5",Front,"1,5","Pro Aufschlagsrakete 3 Damage, Nachladezeit 40 sek. | DER ikonische Droiden-Jäger der CIS — überall in jedem Gefecht zu sehen. Klein (3,6m), keine Schilde, nur 10 RU, aber 6 Blaster Cannons und 4 Missile Launcher pro Einheit. Die Stärke liegt in der Masse: Lucrehulks tragen 1.500 Stück, und sie werden immer in Schwärmen eingesetzt. Verbrauchsmaterial im absolutesten Sinne — ersetzbar wie Munition. Die schiere Zahl macht sie gefährlich."
